tier,web_file,source_file,source_bytes,web_bytes,savings_pct,dims
2000w,images/generator-install/2000w/technician-portrait-deck.webp,Apex Website 2 1.jpg,301310,175508,41.8,1536x1024
1200w,images/generator-install/1200w/technician-portrait-deck.webp,Apex Website 2 1.jpg,301310,113176,62.4,1200x800
800w,images/generator-install/800w/technician-portrait-deck.webp,Apex Website 2 1.jpg,301310,60222,80.0,800x533
2000w,images/generator-install/2000w/apex-general-shirt-logo.webp,Apex Website!  2.jpg,313337,202936,35.2,1536x1024
1200w,images/generator-install/1200w/apex-general-shirt-logo.webp,Apex Website!  2.jpg,313337,118040,62.3,1200x800
800w,images/generator-install/800w/apex-general-shirt-logo.webp,Apex Website!  2.jpg,313337,54682,82.5,800x533
2000w,images/generator-install/2000w/gas-line-install-log-home.webp,DSC05516 2.jpg,4579757,429584,90.6,2000x1333
1200w,images/generator-install/1200w/gas-line-install-log-home.webp,DSC05516 2.jpg,4579757,143968,96.9,1200x800
800w,images/generator-install/800w/gas-line-install-log-home.webp,DSC05516 2.jpg,4579757,67648,98.5,800x533
2000w,images/generator-install/2000w/exhaust-vent-install-log-home.webp,DSC05562 2.jpg,5054435,606330,88.0,2000x1333
1200w,images/generator-install/1200w/exhaust-vent-install-log-home.webp,DSC05562 2.jpg,5054435,201420,96.0,1200x800
800w,images/generator-install/800w/exhaust-vent-install-log-home.webp,DSC05562 2.jpg,5054435,87958,98.3,800x533
2000w,images/generator-install/2000w/crawlspace-access-wiring.webp,DSC05564 2.jpg,4352267,466164,89.3,2000x1333
1200w,images/generator-install/1200w/crawlspace-access-wiring.webp,DSC05564 2.jpg,4352267,159104,96.3,1200x800
800w,images/generator-install/800w/crawlspace-access-wiring.webp,DSC05564 2.jpg,4352267,67712,98.4,800x533
2000w,images/generator-install/2000w/crew-on-site-log-home.webp,DSC05658 2.jpg,3791548,457128,87.9,2000x1333
1200w,images/generator-install/1200w/crew-on-site-log-home.webp,DSC05658 2.jpg,3791548,176902,95.3,1200x800
800w,images/generator-install/800w/crew-on-site-log-home.webp,DSC05658 2.jpg,3791548,87398,97.7,800x533
2000w,images/generator-install/2000w/technician-portrait-log-home.webp,DSC05660 2.jpg,2346551,201448,91.4,2000x1333
1200w,images/generator-install/1200w/technician-portrait-log-home.webp,DSC05660 2.jpg,2346551,90232,96.2,1200x800
800w,images/generator-install/800w/technician-portrait-log-home.webp,DSC05660 2.jpg,2346551,49534,97.9,800x533
2000w,images/generator-install/2000w/standby-generator-install-crew.webp,DSC05799 2.jpg,4811218,556354,88.4,2000x1333
1200w,images/generator-install/1200w/standby-generator-install-crew.webp,DSC05799 2.jpg,4811218,181588,96.2,1200x800
800w,images/generator-install/800w/standby-generator-install-crew.webp,DSC05799 2.jpg,4811218,79256,98.4,800x533
2000w,images/generator-install/2000w/generator-service-deck.webp,DSC05956 2.jpg,4240114,466672,89.0,2000x1333
1200w,images/generator-install/1200w/generator-service-deck.webp,DSC05956 2.jpg,4240114,180888,95.7,1200x800
800w,images/generator-install/800w/generator-service-deck.webp,DSC05956 2.jpg,4240114,85980,98.0,800x533
2000w,images/generator-install/2000w/standby-generator-commissioning.webp,DSC05988 2.jpg,5172719,579538,88.8,2000x1333
1200w,images/generator-install/1200w/standby-generator-commissioning.webp,DSC05988 2.jpg,5172719,204116,96.1,1200x800
800w,images/generator-install/800w/standby-generator-commissioning.webp,DSC05988 2.jpg,5172719,92276,98.2,800x533
2000w,images/generator-install/2000w/generator-oil-check-closeup.webp,DSC06064 2.jpg,3892247,302680,92.2,2000x1333
1200w,images/generator-install/1200w/generator-oil-check-closeup.webp,DSC06064 2.jpg,3892247,102576,97.4,1200x800
800w,images/generator-install/800w/generator-oil-check-closeup.webp,DSC06064 2.jpg,3892247,50792,98.7,800x533
2000w,images/generator-install/2000w/generator-control-panel-service.webp,DSC06068 2.jpg,4607559,512614,88.9,2000x1333
1200w,images/generator-install/1200w/generator-control-panel-service.webp,DSC06068 2.jpg,4607559,179882,96.1,1200x800
800w,images/generator-install/800w/generator-control-panel-service.webp,DSC06068 2.jpg,4607559,80330,98.3,800x533
2000w,images/generator-install/2000w/generator-install-complete-gas-piping.webp,DSC06130 2.jpg,5168051,635526,87.7,2000x1333
1200w,images/generator-install/1200w/generator-install-complete-gas-piping.webp,DSC06130 2.jpg,5168051,204468,96.0,1200x800
800w,images/generator-install/800w/generator-install-complete-gas-piping.webp,DSC06130 2.jpg,5168051,86034,98.3,800x533
2000w,images/generator-install/2000w/generac-standby-generator-installed.webp,DSC06175 2.jpg,5566357,578740,89.6,2000x1333
1200w,images/generator-install/1200w/generac-standby-generator-installed.webp,DSC06175 2.jpg,5566357,173310,96.9,1200x800
800w,images/generator-install/800w/generac-standby-generator-installed.webp,DSC06175 2.jpg,5566357,68802,98.8,800x533
